工况,实际预紧力_kN,P1_锚杆屈服上限_kN,P2_锚固上限_kN,P3_压陷上限_kN,主控约束,主控失效模式,最小安全系数,最小裕度_kN,最大允许力矩_Nm,是否安全,扰动幅度,扰动幅度百分比,样本编号,固定Topt_Nm,扰动_yield_load,扰动_hole_diameter,扰动_bond_length,扰动_elastic_modulus,扰动_poisson_ratio,扰动_tray_side,扰动_max_indent_depth,扰动_influence_depth,扰动_torque_conversion
工况 A：岩层锚杆,169.15098580666393,139.28047955901076,322.0073736592651,538.1190635172255,P1,锚杆屈服,0.8234092097944109,-29.870506247653168,478.39416361687444,False,0.2,20.0,3147,580.9920000000001,-0.18070306141758372,0.018502009874694997,0.016491309338724752,-0.08805401759974579,0.18414664514916063,0.16972139615490217,-0.00913631620192587,-0.05564897819176773,-0.19598458530152946
工况 A：岩层锚杆,168.25353867375586,138.80846855527219,353.18934948869423,422.15725886380045,P1,锚杆屈服,0.8249958345566939,-29.44507011848367,479.31597991076274,False,0.2,20.0,1885,580.9920000000001,-0.18347959673369305,-0.06007932145281655,0.1888949928553757,-0.06897855763355798,-0.018801115652208156,0.033027353934104026,-0.14562748506505718,-0.19769555141506961,-0.19169604947385724
工况 A：岩层锚杆,164.86781187007628,136.2875662914001,270.93469431197076,299.9215538645669,P1,锚杆屈服,0.8266475107876196,-28.58024557867617,480.27559058752075,False,0.2,20.0,968,580.9920000000001,-0.1983084335799994,-0.04582943394659972,-0.14844711513806297,-0.003100982000438457,0.08812126204194903,-0.036139801715040276,-0.05246934815761195,0.1849099992760206,-0.17509671258829768
工况 A：岩层锚杆,164.76316317076552,137.34066502655887,263.3482581687453,285.84591116179956,P1,锚杆屈服,0.8335641437292318,-27.422498144206656,484.2940989935339,False,0.2,20.0,1379,580.9920000000001,-0.19211373513788896,-0.06585360143867533,-0.16405118587824807,0.01126214486622118,0.15995103012017603,-0.1351780705293172,-0.1970516260946739,-0.13013347545328868,-0.17457277838830093
工况 A：岩层锚杆,167.18037560727194,139.50454863240063,381.729189200431,500.2987258030032,P1,锚杆屈服,0.834455288939622,-27.675826974871313,484.81184723160885,False,0.2,20.0,2638,580.9920000000001,-0.17938500804470228,0.16941605039408042,-0.08186841925665096,0.08059587410581576,-0.11784719524154635,0.1253086618975503,-0.18761324825734774,-0.12415930625250798,-0.18650739055951535
工况 A：岩层锚杆,165.2660461824514,138.0296823690635,265.2164702796088,304.65840935874235,P1,锚杆屈服,0.835196857173437,-27.236363813387896,485.2426924429095,False,0.2,20.0,1113,580.9920000000001,-0.18806069194668545,-0.01964082758962643,-0.1929692615149528,0.0036033258872748275,0.11570796708025571,-0.057149670217421455,-0.12107393898039653,0.04662969790906707,-0.17708444570726944
工况 A：岩层锚杆,165.00708378781297,137.92674243822466,422.31475572348944,510.1226769295844,P1,锚杆屈服,0.8358837649393789,-27.08034134958831,485.64178035965966,False,0.2,20.0,2593,580.9920000000001,-0.18866622095161967,0.10101393681792303,0.19539369213944008,-0.05075137292824136,-0.16017474376811514,0.17693706341621301,-0.0668427923348934,-0.05642350742033117,-0.17579296065321623
工况 A：岩层锚杆,162.67236049026022,136.0797029015422,321.65621148797715,308.05669218835965,P1,锚杆屈服,0.8365262696835937,-26.592657588718026,486.0150704760105,False,0.2,20.0,199,580.9920000000001,-0.19953115940269295,0.015141913085452263,0.11017924960310282,-0.18512583828802318,-0.06703860415009408,-0.007408835148613319,0.1364682013566359,0.17457915600559876,-0.1639636900200829
工况 A：岩层锚杆,165.51985149062747,138.69886180194484,353.9156608160045,332.52479437967025,P1,锚杆屈服,0.8379590759226765,-26.82098968868263,486.84751943846777,False,0.2,20.0,2332,580.9920000000001,-0.184124342341501,0.07960244788228682,0.0448721118392911,-0.07777133021061694,0.11396665577842419,0.03257014352482987,-0.08824284947423089,0.09603621517035194,-0.17834629033786317
工况 A：岩层锚杆,165.00589506705398,138.31600905744787,458.31419196042697,549.1822641639067,P1,锚杆屈服,0.8382488940849049,-26.689886009606113,487.0159014721771,False,0.2,20.0,2357,580.9920000000001,-0.18637641730913024,0.1767565292611944,0.08789645660862366,0.08995880802143541,-0.11165292036913117,0.1143826455655359,-0.08619461490241109,-0.11158876331990211,-0.17578702297434137
工况 A：岩层锚杆,166.1664905773776,139.3102207169522,337.8658435509615,598.405531477901,P1,锚杆屈服,0.8383773421036449,-26.856269860425414,487.09052874348095,False,0.2,20.0,1121,580.9920000000001,-0.18052811342969305,-0.02339067129177086,0.07307583806009943,-0.04496871485488946,0.13778667482321527,0.18660691964790027,0.07446520308499827,-0.014852429396255307,-0.18154376657145668
